"Part";"Value";"Device";"Package";"Description";"";
"C1";"1uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C3";"0.22uF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C4";"15pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C5";"15pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"E1";"PEC12R-2125F-N0012";"PEC12R-2125F-N0012";"PEC12R";"PEC12R-2125F-N0012,";"";
"F1";"FEMTOSMDC010F/15";"FEMTOSMDC010F/15";"C0603K";"Resettable Fuse";"";
"IC1";"PIC18F14K50";"PIC18F14K50";"SSOP20";"";"";
"J1";"MOLEX-47346-0001";"MOLEX-47346-0001";"MOLEX-47364-0001";"MICRO USB B, BOTTOM MOUNT";"";
"J2";"CONNTHRU";"PINHD-1X51X05_CONNTHRU";"1X05_CONNTHRU";"PIN HEADER";"";
"R1";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"33k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"SW1";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"SW3";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"SW4";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"SW5";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"SW6";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"SW7";"EVQ-9P105M";"EVQ-9P105M";"EVQ9P";"Panasonic Tactile Switch";"";
"X1";"FA238V 12MHz";"FA-238V";"XTAL_SMD_32X25";"EPSON TOYOCOM FA238V, SMD, 4 PAD";"";
